,title,release_date,popularity,vote_average,vote_count
4930,Back to Black,4/11/2024,3.1694,6.7,613
4931,Time Freak,11/9/2018,1.3588,6.691,465
4932,Peter Rabbit,2/7/2018,3.7791,6.7,1833
4933,A United Kingdom,11/25/2016,1.8917,6.7,516
4934,The Gift,7/31/2015,2.7258,6.691,3317
4935,The Infiltrator,7/13/2016,1.7376,6.7,1718
4936,Falling in Love,11/21/1984,1.6957,6.691,374
4937,Yesterday,6/26/2019,4.1952,6.69,4051
4938,The Climb,1/25/2017,1.223,6.69,873
4939,Fifty Shades Freed,1/17/2018,17.8999,6.7,8166
4940,Slow West,5/15/2015,1.8494,6.7,1003
4941,Scared Shrekless,10/28/2010,1.7478,6.69,479
4942,Monster House,6/30/2006,7.0308,6.691,4111
4943,21,3/27/2008,5.1353,6.69,4808
4944,The 13th Warrior,8/13/1999,4.3755,6.69,1928
4945,Mr. & Mrs. Smith,6/7/2005,10.0036,6.69,10734
4946,The Trip,7/30/2021,1.9305,6.689,596
4947,Coven,10/2/2020,0.8118,6.7,301
4948,Guava Island,4/13/2019,1.2869,6.689,330
4949,Muppet Treasure Island,2/16/1996,1.563,6.689,424
4950,Quigley Down Under,10/17/1990,2.7891,6.689,400
4951,You've Got Mail,12/18/1998,4.6212,6.69,3429
4952,Police Academy,3/22/1984,10.275,6.689,2802
4953,Disturbia,3/27/2007,4.5466,6.689,3838
4954,Parenthood,7/31/1989,1.6709,6.689,668
4955,Space Jam: A New Legacy,7/8/2021,5.8074,6.687,4096
4956,Fire and Ice,3/25/1983,2.3483,6.688,316
4957,Bottle Rocket,2/21/1996,2.0017,6.688,1104
4958,The First Great Train Robbery,12/14/1978,2.4843,6.7,404
4959,A Nightmare on Elm Street 3: Dream Warriors,2/27/1987,1.8855,6.688,1879
4960,Trolls Holiday,11/1/2017,2.0024,6.687,497
4961,Diary of a Wimpy Kid: Rodrick Rules,3/25/2011,4.1782,6.7,1179
4962,Mansfield Park,11/12/1999,2.1061,6.7,310
4963,Scream,1/12/2022,8.5133,6.686,3533
4964,Mank,11/13/2020,1.5748,6.686,1674
4965,Public Enemies,7/1/2009,5.7853,6.686,4599
4966,Dying Young,6/20/1991,1.6538,6.686,462
4967,Rambo,1/24/2008,7.0225,6.686,4055
4968,Mosul,9/4/2019,2.3268,6.685,317
4969,The Muppets,11/22/2011,2.2409,6.7,1617
4970,The Stepford Wives,2/12/1975,1.4011,6.685,335
4971,48 Hrs.,12/7/1982,3.8062,6.685,1579
4972,Unknown,2/16/2011,5.3776,6.685,3976
4973,Dikkenek,6/21/2006,1.1542,6.684,686
4974,Meet the Parents,10/6/2000,5.5216,6.684,6106
4975,Exterritorial,4/29/2025,18.9317,6.683,528
4976,Border,9/27/2018,2.2048,6.684,857
4977,The Wave,8/28/2015,4.0442,6.683,1327
4978,Beverly Hills Cop: Axel F,6/20/2024,7.4193,6.683,1283
4979,Ms .45,4/24/1981,1.6229,6.7,364
4980,Fast & Furious,4/2/2009,1.336,6.683,7468
4981,"Corrina, Corrina",8/12/1994,1.6116,6.7,431
4982,The Good Liar,11/8/2019,2.7342,6.682,1191
4983,The Mechanic,10/6/1972,2.1517,6.7,318
4984,Nanny McPhee,10/21/2005,5.6085,6.7,3108
4985,Dikkenek,6/21/2006,1.1542,6.684,686
4986,Ruby & Quentin,10/22/2003,3.3,6.679,853
4987,The Island,7/21/2005,6.3547,6.682,5579
4988,The Ring,10/18/2002,5.1541,6.7,6351
4989,My Week with Marilyn,11/23/2011,1.9993,6.681,1305
4990,The Last Circus,12/17/2010,1.2456,6.681,426
4991,Yes Man,12/9/2008,4.8567,6.681,7043
4992,Days of Glory,9/27/2006,1.1108,6.681,381
4993,Blue Beetle,8/16/2023,6.296,6.68,2860
4994,Haunt,9/13/2019,2.0476,6.68,1283
4995,Return to Halloweentown,10/20/2006,1.3765,6.68,609
4996,Lilo & Stitch 2: Stitch Has a Glitch,8/22/2005,7.7713,6.68,1556
4997,The World According to Garp,7/23/1982,1.2016,6.7,358
4998,Planet Terror,4/6/2007,3.9162,6.68,3614
4999,Night Moves,6/11/1975,1.8052,6.7,319
5000,The Little Mermaid: Ariel's Beginning,8/25/2008,0.2005,6.678,1043
5001,Patriot Games,6/4/1992,3.3934,6.678,1709
5002,Mad Max,4/12/1979,5.5481,6.678,4668
5003,Ransom,11/8/1996,2.5129,6.678,1937
5004,Footloose,2/17/1984,3.7358,6.678,2121
5005,Samaritan,8/25/2022,5.0095,6.677,2081
5006,Gladiator II,11/13/2024,22.4765,6.7,3734
5007,"Tad, the Lost Explorer, and the Secret of King Midas",3/25/2017,2.7918,6.7,415
5008,Hysteria,6/6/2011,1.586,6.677,826
5009,Cronos,11/5/1993,1.8144,6.7,690
5010,Appleseed,4/17/2004,1.2444,6.677,367
5011,Eye for an Eye,8/30/2019,1.3407,6.676,315
5012,Attraction,1/26/2017,3.39,6.7,850
5013,Tutta colpa di Freud,1/23/2014,0.5159,6.676,1029
5014,Zulu,12/4/2013,1.1823,6.676,492
5015,Insidious: Chapter 2,9/12/2013,5.6324,6.676,4367
5016,Geek Charming,11/11/2011,2.3795,6.7,765
5017,Tristan & Isolde,4/7/2006,1.6339,6.676,805
5018,The Hitchhiker's Guide to the Galaxy,4/28/2005,3.3001,6.676,4007
5019,Fantastic Voyage,8/24/1966,1.5024,6.7,460
5020,The Words,9/7/2012,2.6701,6.675,1229
5021,No Reservations,6/15/2007,2.8857,6.675,1409
5022,Blink Twice,8/21/2024,8.2307,6.675,1559
5023,"Me, Myself and Mum",11/20/2013,1.088,6.674,671
5024,Pokémon: Mewtwo Returns,8/17/2001,1.5007,6.674,411
5025,Out of Sight,6/26/1998,2.7069,6.674,1328
5026,Queer,11/27/2024,4.1078,6.671,394
5027,Dilwale,12/18/2015,1.2542,6.7,321
5028,The Little Death,6/13/2014,1.5335,6.673,496
5029,The Loved Ones,8/4/2010,2.226,6.677,779
5030,22 Bullets,3/23/2010,2.8109,6.7,1246
5031,Stir of Echoes,9/10/1999,2.5656,6.673,1274
5032,Jarhead,11/4/2005,3.9505,6.7,2993
5033,Martian Child,11/2/2007,1.1756,6.672,311
5034,Thunderball,12/11/1965,5.487,6.672,2446
5035,Reptile,9/29/2023,3.2964,6.671,1074
5036,Perfect Strangers,12/1/2017,1.2329,6.671,659
5037,The Odyssey,10/12/2016,1.8511,6.671,418
5038,When the Game Stands Tall,8/22/2014,1.602,6.671,362
5039,The Replacements,8/11/2000,4.568,6.671,1007
5040,The Ides of March,10/7/2011,2.8936,6.671,2569
5041,Subservience,8/15/2024,11.6822,6.669,798
5042,Emily the Criminal,8/12/2022,2.7294,6.67,901
5043,The Advent Calendar,12/1/2021,1.9745,6.67,373
5044,Purl,1/18/2019,1.264,6.67,311
5045,Goodnight Mommy,1/8/2015,2.7338,6.67,1623
5046,Ninja Assassin,9/29/2009,5.774,6.67,1634
5047,Real Genius,8/7/1985,2.4416,6.67,465
5048,Young Guns,2/17/1988,2.7582,6.67,965
5049,UHF,7/21/1989,1.3459,6.7,377
5050,A Good Year,9/9/2006,2.6019,6.67,1542
5051,Backdraft,5/24/1991,2.8983,6.7,1473
5052,Hellboy,4/2/2004,5.9655,6.67,7086
5053,Bob Marley: One Love,2/14/2024,3.2793,6.667,863
5054,More the Merrier,7/30/2021,2.2186,6.669,435
5055,Better Watch Out,10/6/2017,2.0218,6.669,1547
5056,Goodbye Berlin,9/15/2016,1.146,6.669,316
5057,The Spectacular Now,8/2/2013,2.942,6.669,2921
5058,Unfaithful,5/10/2002,5.862,6.669,1602
5059,Storks,9/22/2016,4.7542,6.668,2410
5060,The Lego Movie 2: The Second Part,2/6/2019,5.0455,6.668,2294
5061,Twitches Too,10/12/2007,1.9579,6.668,355
5062,Fracchia The Human Beast,12/22/1981,0.3892,6.668,327
5063,Three Fugitives,1/27/1989,1.6454,6.7,304
5064,*batteries not included,12/18/1987,2.7836,6.668,742
5065,Hairspray,7/19/2007,3.2016,6.668,2536
5066,Sex and Lucía,8/24/2001,3.4659,6.668,582
5067,Bros,9/30/2022,1.8314,6.7,533
5068,Comet,12/5/2014,0.9195,6.667,446
5069,Charlie Bartlett,2/22/2008,1.2876,6.7,652
5070,Hitman's Wife's Bodyguard,6/14/2021,4.8921,6.666,2404
5071,Fantozzi Against the Wind,11/13/1980,0.7458,6.666,532
5072,The Lookout,3/9/2007,1.2306,6.666,659
5073,Serial (Bad) Weddings,4/16/2014,2.2097,6.665,3448
5074,The Longest Yard,5/27/2005,7.718,6.666,3513
5075,The Royal Treatment,1/20/2022,1.3519,6.664,779
5076,Glass,1/16/2019,6.2093,6.664,8727
5077,Enough,5/21/2002,2.4401,6.664,1186
5078,A Perfect Day,8/28/2015,1.5926,6.663,640
5079,Balto III: Wings of Change,4/14/2004,1.4372,6.7,331
5080,Society,5/13/1989,1.3239,6.663,574
5081,Fire in the Sky,3/12/1993,2.2925,6.663,629
5082,The Spiderwick Chronicles,2/14/2008,5.7034,6.664,2721
5083,Smile,9/23/2022,9.7477,6.663,3671
5084,Luther: The Fallen Sun,2/24/2023,2.2689,6.662,994
5085,Overboard,4/13/2018,3.9883,6.662,1411
5086,Florence Foster Jenkins,5/6/2016,2.2203,6.662,1486
5087,One Chance,9/9/2013,1.0602,6.662,300
5088,The Trip,4/24/2011,0.5511,6.662,300
5089,Help! I'm a Fish,10/6/2000,2.1617,6.7,433
5090,Thirteen,8/20/2003,4.8951,6.7,1675
5091,The Grand Seduction,5/30/2014,1.3092,6.661,330
5092,Julia's Eyes,8/16/2010,1.6401,6.7,811
5093,Of Gods and Men,9/8/2010,1.4024,6.661,398
5094,Happy Gilmore,2/16/1996,30.5855,6.661,3016
5095,Bully,6/15/2001,2.3375,6.661,505
5096,River of No Return,4/30/1954,2.4775,6.661,455
5097,Boston Strangler,3/16/2023,1.8252,6.66,761
5098,Happy Death Day,10/12/2017,3.337,6.66,6328
5099,Veronica Guerin,7/11/2003,1.5752,6.66,319
5100,Burn After Reading,9/5/2008,3.5392,6.7,4920
5101,Oblivion,4/10/2013,6.0144,6.659,11016
5102,Rabbit Hole,12/16/2010,3.1636,6.7,617
5103,JCVD,6/4/2008,1.0524,6.7,530
5104,Catch-22,6/24/1970,1.9861,6.659,318
5105,Secret Society of Second Born Royals,9/25/2020,2.4278,6.658,545
5106,Major Grom: Plague Doctor,4/1/2021,1.3349,6.658,612
5107,Crimson Peak,10/13/2015,3.5494,6.658,5038
5108,Green Lantern: Emerald Knights,4/9/2011,2.1346,6.658,524
5109,Cracks,12/4/2009,1.7858,6.658,411
5110,Grumpy Old Men,12/25/1993,2.5211,6.658,701
5111,One Eight Seven,7/29/1997,2.4696,6.658,589
5112,Pig,7/16/2021,2.1655,6.657,1564
5113,Elle,5/25/2016,2.8962,6.657,1909
5114,Away We Go,6/5/2009,1.6176,6.657,593
5115,The Hunger,4/29/1983,1.5376,6.657,600
5116,Dave,5/7/1993,1.6599,6.657,779
5117,Shadow of the Vampire,8/30/2000,2.1888,6.657,625
5118,Che: Part Two,12/12/2008,2.4439,6.7,645
5119,Blood & Gold,4/21/2023,1.705,6.656,390
5120,Den of Thieves 2: Pantera,1/8/2025,9.3024,6.656,595
5121,Speak No Evil,3/17/2022,3.3453,6.656,970
5122,Red Joan,9/13/2018,1.3272,6.655,378
5123,Pokémon Heroes,7/13/2002,2.8042,6.7,359
5124,Princess Protection Program,6/8/2009,3.6209,6.655,1716
5125,Up in Smoke,5/16/1978,1.8482,6.655,596
5126,Banana Joe,3/24/1982,1.5853,6.655,466
5127,Keeping Mum,12/2/2005,1.5332,6.655,580
5128,Dream Scenario,11/10/2023,2.6017,6.655,1093
5129,"Good Luck Charlie, It's Christmas!",12/2/2011,1.8606,6.654,416
5130,Uncle Boonmee Who Can Recall His Past Lives,6/25/2010,1.2402,6.7,396
5131,Elf,11/7/2003,4.1856,6.655,4238
5132,Three Kings,9/27/1999,2.6118,6.654,2139
5133,Return,1/1/2008,0.2514,6.7,582
5134,Ma Rainey's Black Bottom,11/25/2020,2.7296,6.653,1201
5135,The Student and Mister Henri,10/7/2015,1.3738,6.653,382
5136,Pirates of the Caribbean: Dead Men Tell No Tales,5/23/2017,11.9315,6.653,12326
5137,Friends with Benefits,7/21/2011,5.8584,6.653,8115
5138,Bad Boys II,7/18/2003,6.2047,6.7,5678
5139,Life,4/16/1999,3.428,6.7,824
5140,Run Hide Fight,6/17/2021,1.6095,6.652,320
5141,Wendell & Wild,10/21/2022,1.3312,6.652,343
5142,Mia madre,4/16/2015,0.8578,6.652,362
5143,Spanish Affair,3/14/2014,1.0072,6.652,651
5144,Puncture,9/23/2011,1.2671,6.652,407
5145,She's Gotta Have It,8/8/1986,1.3237,6.7,339
5146,Crank,8/31/2006,5.5706,6.652,3959
5147,Home Team,1/28/2022,1.9118,6.651,756
5148,Aline,11/19/2020,1.1242,6.7,372
5149,Uncle Drew,6/27/2018,2.2317,6.651,578
5150,The Mountain Between Us,10/5/2017,3.3534,6.651,2453
5151,Saint Seiya: Legend of Sanctuary,6/21/2014,2.8052,6.7,704
5152,Repo Man,3/2/1984,2.1622,6.651,639
5153,Spider,11/6/2002,0.9966,6.7,887
5154,Clear and Present Danger,8/3/1994,3.6558,6.651,1575
5155,Alpha Dog,1/27/2006,2.6794,6.651,1426
5156,Beautiful Disaster,4/4/2023,5.0118,6.65,842
5157,Foxcatcher,11/14/2014,2.3897,6.65,2368
5158,Pain Hustlers,10/20/2023,2.431,6.649,693
5159,The Way Back,3/5/2020,2.2326,6.6,1262
5160,Traitor,8/23/2008,1.4705,6.649,662
5161,Dead Presidents,9/29/1995,1.639,6.649,302
5162,One Hour Photo,8/21/2002,2.3671,6.649,1777
5163,Wasabi,10/31/2001,2.9526,6.649,1341
5164,Rambo: First Blood Part II,5/21/1985,8.3666,6.65,4083
5165,Absolute Power,2/14/1997,1.9886,6.649,1148
5166,Ambulance,3/16/2022,3.7336,6.648,2254
5167,Little Italy,8/24/2018,1.754,6.648,677
5168,Kursk,11/7/2018,4.3212,6.649,654
5169,Hot Summer Nights,7/26/2018,2.4721,6.648,768
5170,Brother Bear 2,8/17/2006,4.3008,6.648,1517
5171,Beautiful Girls,2/9/1996,1.38,6.6,374
5172,Russian Dolls,6/15/2005,1.5637,6.648,700
5173,Paws of Fury: The Legend of Hank,7/14/2022,3.3798,6.6,313
5174,Something's Gotta Give,12/12/2003,3.3383,6.647,1653
5175,Keep an Eye Out,7/4/2018,0.7216,6.6,621
5176,The Brand New Testament,9/2/2015,2.7549,6.646,1688
5177,The Year of Living Dangerously,12/17/1982,1.2331,6.646,339
5178,Half Nelson,8/11/2006,1.4968,6.6,892
5179,Elvira: Mistress of the Dark,9/30/1988,2.3359,6.646,561
5180,Resident Evil,3/15/2002,3.8866,6.646,6592
5181,The Wandering Earth,2/5/2019,3.4253,6.649,1040
5182,All Is Lost,8/23/2013,2.3511,6.645,1657
5183,Contagion,9/8/2011,4.6114,6.644,6253
5184,The Girl Next Door,7/19/2007,3.3331,6.6,739
5185,Bull Durham,6/15/1988,1.8834,6.645,611
5186,White God,6/12/2014,1.0996,6.644,348
5187,The Guest,9/5/2014,4.137,6.644,2021
5188,How I Live Now,9/10/2013,1.4645,6.6,900
5189,Jack Reacher,12/20/2012,7.2488,6.644,7257
5190,The Champion,4/18/2019,0.4254,6.643,391
5191,The Flash,6/13/2023,14.2636,6.643,4637
5192,Stoker,2/28/2013,2.5155,6.643,2299
5193,Pulse,2/3/2001,2.594,6.6,578
5194,Barbie Presents: Thumbelina,2/24/2009,2.549,6.6,493
5195,The Four Feathers,9/8/2002,1.9967,6.6,562
5196,Little White Lies 2,5/1/2019,1.3469,6.642,709
5197,Tuck Everlasting,10/11/2002,1.92,6.642,478
5198,The Man in the Iron Mask,3/12/1998,4.0131,6.642,3945
5199,Always Be My Maybe,5/31/2019,1.9964,6.641,1357
5200,Jurassic World Dominion,6/1/2022,30.8091,6.641,6580
5201,House of Usher,7/20/1960,1.1957,6.641,329
5202,Cloudy with a Chance of Meatballs,9/17/2009,6.0524,6.641,6160
5203,National Treasure,11/19/2004,5.26,6.641,6530
5204,Here,10/30/2024,3.7135,6.64,501
5205,My Name Is Vendetta,11/30/2022,3.2976,6.641,623
5206,Return,,0.2057,6.64,422
5207,The Mother,5/4/2023,3.4493,6.6,1331
5208,White Men Can't Jump,3/27/1992,1.9686,6.6,1412
5209,2010,12/6/1984,2.9647,6.6,987
5210,Return to Me,4/7/2000,2.2525,6.64,450
5211,Fantastic Beasts: The Secrets of Dumbledore,4/6/2022,10.1285,6.639,4783
5212,Pineapple Express,8/6/2008,3.3251,6.638,3960
5213,Tron,7/9/1982,6.7879,6.64,2425
5214,Kate,9/10/2021,1.8334,6.638,1590
5215,Return,7/4/2015,0.3064,6.638,629
5216,The Cabin in the Woods,4/12/2012,6.0655,6.638,8123
5217,The Rescuers Down Under,11/16/1990,0.981,6.638,1333
5218,Rugrats in Paris: The Movie,11/17/2000,2.4669,6.637,467
5219,Obsession,8/1/1976,1.6259,6.6,302
5220,Beavis and Butt-Head Do America,12/20/1996,2.717,6.637,730
5221,Around the World in Eighty Days,10/17/1956,2.949,6.6,533
5222,Marry Me,2/9/2022,2.813,6.636,1051
5223,The Immortal,12/5/2019,1.1602,6.636,483
5224,Dora and the Lost City of Gold,8/8/2019,5.6721,6.6,1773
5225,The Wizard of Lies,5/11/2017,2.2924,6.636,604
5226,Their Finest,2/19/2017,1.5303,6.636,424
5227,The Eagle Has Landed,12/24/1976,2.2556,6.636,350
5228,Dumb and Dumber,12/16/1994,6.6655,6.636,6354
5229,The Harder They Fall,10/22/2021,1.8214,6.635,1115
5230,A Simple Favor,9/13/2018,4.045,6.635,4397
5231,Jungle,6/27/2017,3.5762,6.635,2026
5232,The Skeleton Twins,6/5/2014,2.6932,6.635,657
5233,Alan Partridge: Alpha Papa,7/24/2013,1.1225,6.635,466
5234,Trolls,10/13/2016,6.9459,6.6,3682
5235,Colombiana,7/27/2011,8.9892,6.6,2700
5236,Alice in Wonderland,3/3/2010,10.8577,6.635,14331
5237,Street Kings,4/10/2008,2.4519,6.635,1567
5238,The Wild Goose Lake,12/6/2019,1.0094,6.634,347
5239,Wildlife,9/23/2018,1.7917,6.6,744
5240,Ninja: Shadow of a Tear,12/27/2013,2.8521,6.6,398
5241,Man of Steel,6/12/2013,14.9898,6.634,15571
5242,Short Circuit,5/9/1986,2.3155,6.6,1534
5243,Empire of Light,12/9/2022,1.777,6.633,577
5244,Our Souls at Night,9/29/2017,1.1515,6.6,443
5245,Monte Carlo,7/1/2011,4.198,6.633,2166
5246,Empire Records,9/22/1995,2.283,6.633,743
5247,Things We Lost in the Fire,9/26/2007,1.4246,6.633,365
5248,Official Competition,9/4/2021,2.0653,6.6,405
5249,Return,1/1/2015,0.5417,6.632,1177
5250,Spring,10/8/2014,1.808,6.632,729
5251,Antichrist,5/20/2009,4.9716,6.632,2672
5252,Body of Lies,10/9/2008,3.1364,6.6,3134
5253,Cypher,10/1/2002,1.8319,6.632,591
5254,Not Without My Daughter,1/11/1991,3.0587,6.632,311
5255,Emma,8/2/1996,2.3185,6.6,638
5256,The Purge: Anarchy,7/17/2014,6.5789,6.631,6511
5257,Veronica Mars,3/13/2014,1.3163,6.631,1100
5258,Dead Men Don't Wear Plaid,5/21/1982,1.498,6.631,409
5259,The Kid Detective,10/16/2020,1.1064,6.63,436
5260,Stillwater,7/29/2021,2.5649,6.63,1312
5261,Kaamelott: The First Chapter,7/21/2021,1.1261,6.63,702
5262,Valerian and the City of a Thousand Planets,7/19/2017,6.2454,6.63,7681
5263,Yves Saint Laurent,1/8/2014,1.4975,6.63,900
5264,Hands of Stone,8/26/2016,2.1757,6.63,431
5265,The Little Bather,3/22/1968,1.2,6.63,372
5266,Gummo,10/17/1997,1.6319,6.6,664
5267,Inferno,2/7/1980,1.3102,6.63,633
5268,Candyman,10/16/1992,3.305,6.63,1678
5269,99 Francs,9/26/2007,2.1769,6.63,753
5270,Barefoot,2/2/2014,4.0891,6.629,646
5271,Heartbreaker,3/17/2010,1.4958,6.629,1366
5272,Buried,9/24/2010,2.5409,6.629,2890
5273,New Jack City,3/8/1991,2.0553,6.629,556
5274,Those Who Wish Me Dead,5/5/2021,5.8272,6.628,1715
5275,Monos,8/15/2019,0.99,6.628,409
5276,Something Wild,11/7/1986,1.2884,6.628,364
5277,Final Destination,3/17/2000,13.9287,6.628,6231
5278,Pet Sematary,4/21/1989,4.548,6.628,2255
5279,Live Free or Die Hard,6/20/2007,6.0521,6.629,6043
5280,Final Destination,3/17/2000,13.9287,6.628,6231
5281,Pet Sematary,4/21/1989,4.548,6.628,2255
5282,Stuber,7/11/2019,2.1665,6.627,1340
5283,Godard Mon Amour,6/24/2017,1.4934,6.6,359
5284,The Hunt,3/11/2020,5.5133,6.626,3393
5285,Gold,2/3/2016,2.5698,6.626,1676
5286,Infinitely Polar Bear,1/18/2014,1.8869,6.626,378
5287,Taxidermia,8/23/2006,1.6604,6.626,325
5288,The Skeleton Key,7/29/2005,4.1265,6.626,2155
5289,Multiverse,11/12/2021,0.6544,6.624,336
5290,The Shiny Shrimps,5/8/2019,0.8657,6.624,441
5291,This Is Where I Leave You,9/10/2014,3.2379,6.624,1387
5292,Micmacs,10/28/2009,1.5209,6.6,616
5293,Reversal of Fortune,10/19/1990,2.8335,6.6,329
5294,Ruthless People,6/26/1986,1.5176,6.6,415
5295,Kinsey,9/4/2004,1.6901,6.623,485
5296,Cocoon,6/21/1985,2.3593,6.623,1331
5297,Infested,12/27/2023,1.8403,6.622,496
5298,Trance,3/27/2013,2.2536,6.622,2237
5299,U Turn,10/3/1997,1.7871,6.622,762
5300,Husband & Wife,4/13/2017,1.0022,6.621,343
5301,The Chronicles of Narnia: Prince Caspian,5/15/2008,7.4797,6.621,6525
5302,The Holiday Calendar,11/2/2018,0.8978,6.62,1026
5303,Fireworks,8/18/2017,1.8206,6.6,347
5304,Hours,12/4/2013,1.4386,6.62,759
5305,Madagascar 3: Europe's Most Wanted,6/6/2012,8.1518,6.619,6326
5306,[REC]²,9/15/2009,1.7974,6.619,2072
5307,The Quiet Earth,9/8/1985,1.6303,6.619,564
5308,Athena,9/9/2022,2.9407,6.618,765
5309,Alienoid: Return to the Future,1/10/2024,3.9822,6.618,809
5310,Populaire,11/27/2012,1.3973,6.618,581
5311,The Grandmaster,1/10/2013,2.7953,6.618,914
5312,The Crush,4/2/1993,2.4454,6.618,516
5313,The Last Starfighter,7/13/1984,2.0134,6.618,718
5314,The Forbidden Kingdom,4/17/2008,3.9417,6.618,1782
5315,Dragon Ball Z: The World's Strongest,3/10/1990,3.7489,6.6,525
5316,Cruising,2/15/1980,1.5562,6.6,573
5317,Frozen River,3/26/2008,1.3196,6.6,333
5318,Zom 100: Bucket List of the Dead,8/3/2023,1.5205,6.616,585
5319,My Spy The Eternal City,7/18/2024,6.5665,6.609,407
5320,The Lord of the Rings: The War of the Rohirrim,12/5/2024,12.4636,6.619,658
5321,Big Bad Wolves,4/21/2013,1.1163,6.616,391
5322,Caddyshack,7/25/1980,3.0643,6.616,1216
5323,Midway,6/18/1976,4.2597,6.6,303
5324,Risky Business,8/5/1983,3.088,6.616,1368
5325,Girl with a Pearl Earring,12/12/2003,3.1617,6.617,1409
5326,There's Something About Mary,7/15/1998,5.497,6.616,5084
5327,Oxygen,5/12/2021,1.2896,6.6,1461
5328,The Hunter,10/6/2011,1.4931,6.6,673
5329,Tinker Tailor Soldier Spy,9/16/2011,3.859,6.615,2742
5330,Main Hoon Na,4/30/2004,2.0632,6.6,400
5331,Miss Potter,12/3/2006,1.5193,6.615,506
5332,Suicide Kings,9/6/1997,1.2464,6.615,304
5333,Fermat's Room,10/7/2007,1.3318,6.615,422
5334,Damage,12/2/1992,5.8261,6.614,627
5335,When a Man Loves a Woman,4/29/1994,1.9232,6.614,363
5336,Ben Is Back,12/5/2018,2.3848,6.613,933
5337,Mr. Morgan's Last Love,8/22/2013,1.3662,6.613,302
5338,Space Pirate Captain Harlock,9/7/2013,3.3457,6.613,1048
5339,Point Blank,11/8/2010,1.2246,6.6,474
5340,Heaven Can Wait,6/28/1978,1.6683,6.613,415
5341,Conspiracy Theory,8/8/1997,3.4485,6.613,1531
5342,Torn Curtain,7/15/1966,1.7778,6.615,605
5343,The Kids Are All Right,7/9/2010,1.6762,6.612,1523
5344,Sweet Girl,8/18/2021,2.8516,6.611,1232
5345,Popstar: Never Stop Never Stopping,6/3/2016,2.2014,6.611,1287
5346,Behind the Candelabra,5/26/2013,2.0828,6.61,801
5347,Exotica,9/29/1994,1.9158,6.61,363
5348,Killer Klowns from Outer Space,5/27/1988,2.6632,6.61,1080
5349,The Fabulous Baker Boys,10/13/1989,1.4416,6.6,345
5350,Crazy/Beautiful,6/29/2001,1.2106,6.6,347
5351,The Curse of the Jade Scorpion,8/10/2001,2.0493,6.61,794
5352,Brittany Runs a Marathon,8/23/2019,1.7133,6.609,497
5353,Fairy Tail: Dragon Cry,5/6/2017,1.6526,6.6,410
5354,Demons,10/4/1985,2.4376,6.6,594
5355,Tigerland,10/6/2000,1.6832,6.609,580
5356,He's Just Not That Into You,2/6/2009,6.6349,6.609,3858
5357,The Addams Family,10/10/2019,8.6543,6.608,2392
5358,Benedetta,7/9/2021,4.4686,6.6,1076
5359,Breach,2/12/2007,1.5146,6.61,617
5360,The Party,12/17/1980,2.8192,6.6,1159
5361,Batman: The Killing Joke,7/24/2016,2.1524,6.607,1872
5362,The Collector,7/9/2009,3.5387,6.6,1550
5363,A Christmas Prince,11/17/2017,1.1813,6.606,1451
5364,Kill the Messenger,10/9/2014,1.9666,6.606,871
5365,Side Effects,2/7/2013,2.1879,6.606,3160
5366,License to Drive,7/6/1988,2.0313,6.606,379
5367,Old School,2/21/2003,9.0721,6.6,1957
5368,The Final Countdown,1/31/1980,3.1743,6.606,630
5369,"Me, Myself & Irene",6/22/2000,5.1034,6.606,4023
5370,The Wonder,11/2/2022,2.1135,6.605,875
5371,Superman: Unbound,4/23/2013,1.9755,6.613,438
5372,World's Greatest Dad,8/20/2009,1.8937,6.605,621
5373,Play Misty for Me,10/1/1971,1.4498,6.605,525
5374,Double Jeopardy,9/24/1999,3.5923,6.605,1384
5375,28 Weeks Later,4/26/2007,16.4976,6.605,4957
5376,Swallow,1/15/2020,1.4963,6.604,788
5377,Clouds of Sils Maria,8/20/2014,1.9566,6.604,772
5378,A Most Violent Year,12/31/2014,3.0615,6.604,1455
5379,Swimming with Sharks,9/10/1994,1.0206,6.6,323
5380,Goya's Ghosts,11/8/2006,1.203,6.604,497
5381,The Green Knight,7/29/2021,3.7571,6.6,2011
5382,The Finest Hours,1/27/2016,3.2067,6.603,1652
5383,Sea of Love,9/15/1989,1.3436,6.603,638
5384,The ComDads,11/23/1983,1.4569,6.603,413
5385,Hamlet,12/19/1990,0.9632,6.603,416
5386,"Where'd You Go, Bernadette",8/16/2019,1.3967,6.602,683
5387,Martha Marcy May Marlene,10/21/2011,1.6975,6.602,770
5388,The Sugarland Express,3/31/1974,2.2273,6.602,426
5389,Working Girl,12/20/1988,2.2871,6.6,1005
5390,Saw II,10/28/2005,5.0583,6.602,5586
5391,45 Years,5/29/2015,1.4771,6.6,759
5392,Footloose,10/6/2011,3.5875,6.601,1676
5393,Time Bandits,7/13/1981,2.4001,6.601,1070
5394,Bright Star,9/18/2009,1.8347,6.601,459
5395,EuroTrip,2/20/2004,4.8794,6.6,2735
5396,Noelle,11/12/2019,2.0226,6.6,693
5397,The Nile Hilton Incident,6/19/2017,0.7485,6.6,366
5398,You're Next,8/22/2013,3.0938,6.6,2553
5399,Brewster's Millions,5/22/1985,1.9118,6.6,620
5400,You Won't Be Alone,4/1/2022,1.7672,6.599,323
