,title,release_date,popularity,vote_average,vote_count
141,Alien,5/25/1979,16.7427,8.164,15480
142,The Departed,10/4/2006,9.3031,8.16,15444
143,Vertigo,5/28/1958,4.4898,8.2,5987
144,Scarface,12/9/1983,15.1661,8.2,12353
145,Black Clover: Sword of the Wizard King,6/16/2023,5.0705,8.158,317
146,Innocent Voices,1/28/2005,2.2187,8.158,505
147,Good Will Hunting,12/5/1997,13.8824,8.158,12980
148,My Hero Academia: Heroes Rising,12/20/2019,4.0866,8.2,1220
149,Casablanca,1/15/1943,5.4165,8.155,5692
150,The Kid,1/21/1921,3.0991,8.153,2221
151,Silenced,9/22/2011,3.6921,8.2,693
152,Piper,6/16/2016,2.7789,8.15,1672
153,The Truman Show,6/4/1998,12.6574,8.148,19182
154,Persona,10/18/1966,3.7867,8.149,2286
155,Capernaum,9/20/2018,4.6879,8.149,1827
156,Singin' in the Rain,4/10/1952,4.1285,8.1,3297
157,My Friends,10/24/1975,1.1212,8.145,716
158,Violet Evergarden: Eternity and the Auto Memory Doll,9/6/2019,2.2342,8.1,413
159,Togo,12/20/2019,3.0867,8.141,2116
160,Central Station,4/3/1998,1.9095,8.139,973
161,Dune: Part Two,2/27/2024,18.7668,8.139,6914
162,Palmer,1/28/2021,9.2523,8.137,1779
163,Bound by Honor,2/5/1993,5.041,8.135,1444
164,Taxi Driver,2/9/1976,9.6933,8.135,12792
165,Joker,10/1/2019,14.1488,8.133,26664
166,8½,2/14/1963,3.1567,8.133,2398
167,Terminator 2: Judgment Day,7/3/1991,12.3626,8.129,13479
168,Better Days,10/25/2019,2.812,8.124,498
169,Jujutsu Kaisen 0,12/24/2021,6.6162,8.1,1531
170,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1/29/1964,4.4191,8.123,5852
171,Full Metal Jacket,6/26/1987,6.7147,8.123,10915
172,There's Still Tomorrow,10/26/2023,1.3819,8.122,1401
173,Green Snake,7/23/2021,2.5877,8.122,333
174,The Shop Around the Corner,1/12/1940,2.8048,8.122,765
175,Red Beard,4/3/1965,2.2103,8.1,379
176,Reservoir Dogs,9/2/1992,8.2308,8.1,14767
177,Portrait of a Lady on Fire,9/18/2019,6.1721,8.116,2741
178,Wonder,11/13/2017,5.5702,8.115,8042
179,Zack Snyder's Justice League,3/18/2021,14.1117,8.114,10337
180,Call Me by Your Name,7/28/2017,8.9724,8.1,12379
181,"“The Shorts” by Aldo, Giovanni and Giacomo",3/29/1996,0.3953,8.113,355
182,The Father,12/23/2020,4.1551,8.112,3374
183,Stalker,5/25/1979,4.3821,8.1,2334
184,"Lock, Stock and Two Smoking Barrels",8/28/1998,2.8639,8.109,6831
185,Double Indemnity,7/6/1944,2.245,8.1,1893
186,Soul,12/25/2020,7.9073,8.1,10876
187,Scenes from a Marriage,9/15/1974,1.3237,8.106,374
188,Wild Strawberries,8/28/1957,2.3583,8.1,1704
